Comment,Designator,Footprint,LCSC,Quantity
26MHz 10pF 2520,Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,C124329,1
74LVC2G17GW-Q100H,U5,SOT65P210X110-6N,C151395,1
1nF,C43,C_0402_1005Metric,C1523,1
15pF,"C16,C17,C27,C28,C29,C52,C54",C_0402_1005Metric,C1548,7
47pF,"C24,C25,C26",C_0402_1005Metric,C1567,3
5.6pF,C23,C_0402_1005Metric,C1574,1
3kΩ,R13,R_0402_1005Metric,C191823,1
25MHz 10pF 2520,Y2,Crystal_SMD_2520-4Pin_2.5x2.0mm,C20623571,1
200Ω,"R15,R17,R19",R_0402_1005Metric,C25087,3
33Ω,"R7,R8",R_0402_1005Metric,C25105,2
100kΩ,"R4,R6",R_0402_1005Metric,C25741,2
316kΩ,R3,R_0402_1005Metric,C25777,1
4.7kΩ,R21,R_0402_1005Metric,C25900,1
5.1k,"R1,R2",R_0402_1005Metric,C25905,2
1MΩ,R22,R_0402_1005Metric,C26083,1
TPS62825DMQR,"U1,U2",TPS62825DMQT,C2650334,2
75Ω,"R10,R11,R14,R16,R18,R20,R9",R_0402_1005Metric,C2689475,7
27MHz 10pF 2520,Y3,Crystal_SMD_2520-4Pin_2.5x2.0mm,C284169,1
CH343P,U3,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,C2846043,1
217179-0001,J2,2171790001_MOL_650876,C2927038,1
0.1μF,"C15,C21,C22,C30,C31,C32,C4,C40,C41,C44,C45,C47,C48,C5,C50,C51,C53,C55,C56,C57,C8,C9",C_0402_1005Metric,C307331,22
47nF,"C36,C38,C39,C42,C46,C49",C_0402_1005Metric,C307339,6
150kΩ,R5,R_0402_1005Metric,C407748,1
150Ω,R12,R_0402_1005Metric,C413067,1
EXB-28V123JX,"RN1,RN2",R_Array_Convex_4x0402,C425277,2
PUMH13-QF,Q1,SOT-363_SC-70-6,C426875,1
10μF,"C1,C2",C_0805_2012Metric,C440198,2
SI5351A,U6,MSOP-10_3x3mm_P0.5mm,C504891,1
130pF,"C18,C19,C6,C7",C_0402_1005Metric,C576705,4
470nH,"L1,L2",L_1008_2520Metric,C5832368,2
BLM15BD221SN1D,"FB1,FB2,FB3",L_0402_1005Metric,C94131,3
10μF,"C10,C11,C12,C13,C14,C3",C_0603_1608Metric,C96446,6
ESP8285,U4,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,C967018,1
